,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
821,1254063,2021,Chennai,14-04-2021,League,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",RCB,SRH,Sunrisers Hyderabad,field,RCB,runs,6,150,20,N,,Nitin Menon,UV Gandhe
822,1254064,2021,Mumbai,15-04-2021,League,JD Unadkat,"Wankhede Stadium, Mumbai",DC,RR,Rajasthan Royals,field,RR,wickets,3,148,20,N,,S Ravi,VK Sharma
823,1254065,2021,Mumbai,16-04-2021,League,DL Chahar,"Wankhede Stadium, Mumbai",KXIP,CSK,Chennai Super Kings,field,CSK,wickets,6,107,20,N,,AK Chaudhary,AY Dandekar
824,1254066,2021,Chennai,17-04-2021,League,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",MI,SRH,Mumbai Indians,bat,MI,runs,13,151,20,N,,CB Gaffaney,K Srinivasan
825,1254067,2021,Chennai,18-04-2021,League,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",RCB,KKR,Royal Challengers Bangalore,bat,RCB,runs,38,205,20,N,,C Shamshuddin,Nitin Menon
826,1254068,2021,Mumbai,18-04-2021,League,S Dhawan,"Wankhede Stadium, Mumbai",KXIP,DC,Delhi Capitals,field,DC,wickets,6,196,20,N,,AK Chaudhary,PR Reiffel
827,1254069,2021,Mumbai,19-04-2021,League,MM Ali,"Wankhede Stadium, Mumbai",CSK,RR,Rajasthan Royals,field,CSK,runs,45,189,20,N,,PR Reiffel,VK Sharma
828,1254070,2021,Chennai,20-04-2021,League,A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",MI,DC,Mumbai Indians,bat,DC,wickets,6,138,20,N,,C Shamshuddin,CB Gaffaney
829,1254071,2021,Chennai,21-04-2021,League,JM Bairstow,"MA Chidambaram Stadium, Chepauk, Chennai",KXIP,SRH,Punjab Kings,bat,SRH,wickets,9,121,20,N,,K Srinivasan,Nitin Menon
830,1254072,2021,Mumbai,21-04-2021,League,F du Plessis,"Wankhede Stadium, Mumbai",CSK,KKR,Kolkata Knight Riders,field,CSK,runs,18,221,20,N,,AY Dandekar,PR Reiffel
831,1254073,2021,Mumbai,22-04-2021,League,D Padikkal,"Wankhede Stadium, Mumbai",RR,RCB,Royal Challengers Bangalore,field,RCB,wickets,10,178,20,N,,J Madanagopal,S Ravi
832,1254074,2021,Chennai,23-04-2021,League,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",MI,KXIP,Punjab Kings,field,KXIP,wickets,9,132,20,N,,C Shamshuddin,Nitin Menon
